Detector	Orientation	Position	Date	Current	MU/min	Bfield	Field_size	Dose1	Dose2	Dose3	Dose_Avg	D_SDOM	Diff_0T	OF	OF_Diff_0T	
EJ-204	perpendicular	Max	2022-09-22 13:25	Forward	545	0.5	0.5	45.91	45.98	45.99	45.96	0.00045	1.042	0.460	0.991
EJ-204	perpendicular	Max	2022-09-22 13:30	Forward		0.5	1	73.25	73.41	73.30	73.32	0.00053	1.039	0.734	0.988
EJ-204	perpendicular		2022-09-22 13:32	Forward		0.5	7	99.98	100.01	99.80	99.93	0.00054	1.052	1.000	1.000
EJ-204	perpendicular	Max	2022-09-22 13:36	Forward	545	1	0.5	45.25	45.22	45.30	45.26	0.00042	1.026	0.449	0.967
EJ-204	perpendicular	Max	2022-09-22 13:41	Forward		1	1	73.08	73.11	73.07	73.09	0.00013	1.036	0.725	0.976
EJ-204	perpendicular		2022-09-22 13:43	Forward		1	7	100.89	100.86	100.75	100.83	0.00034	1.061	1.000	1.000
EJ-204	perpendicular	Max	2022-09-22 13:52	Forward	550	1.5	0.5	44.34	44.29	44.39	44.34	0.00053	1.005	0.439	0.946
EJ-204	perpendicular	Max	2022-09-22 13:56	Forward		1.5	1	72.36	72.37	72.48	72.40	0.00043	1.026	0.717	0.966
EJ-204	perpendicular		2022-09-22 14:01	Forward		1.5	7	101.03	100.98	100.99	101.00	0.00012	1.063	1.000	1.000
EJ-204	perpendicular	Max	2022-09-22 15:35	Reverse	545	0	0.5	0.00	0.00	0.00	44.21	0.00299	1.000	0.463	1.000
EJ-204	perpendicular	Max	2022-09-22 15:41	Reverse		0	1	0.00	0.00	0.00	70.87	0.00201	1.000	0.742	1.000
EJ-204	perpendicular		2022-09-22 15:42	Reverse		0	7	0.00	0.00	0.00	95.54	0.00136	1.000	1.000	1.000
EJ-204	perpendicular	Max	2022-09-22 14:28	Reverse	545	0.2	0.5	45.42	45.32	45.63	45.46	0.00164	1.028	0.464	1.003
EJ-204	perpendicular	Max	2022-09-22 14:32	Reverse		0.2	1	72.55	72.54	72.55	72.55	0.00004	1.024	0.741	0.999
EJ-204	perpendicular		2022-09-22 14:34	Reverse		0.2	7	97.85	97.88	98.03	97.92	0.00046	1.025	1.000	1.000
EJ-204	perpendicular	Max	2022-09-22 14:41	Reverse	545	0.35	0.5	45.94	46.01	45.99	45.98	0.00037	1.040	0.465	1.004
EJ-204	perpendicular	Max	2022-09-22 14:48	Reverse		0.35	1	73.37	73.21	73.34	73.31	0.00055	1.034	0.741	0.999
EJ-204	perpendicular		2022-09-22 14:50	Reverse		0.35	7	98.96	98.87	98.98	98.94	0.00028	1.036	1.000	1.000
EJ-204	perpendicular	Max	2022-09-22 14:58	Reverse	545	0.5	0.5	46.09	45.98	45.94	46.00	0.00080	1.041	0.462	0.999
EJ-204	perpendicular	Max	2022-09-22 15:04	Reverse		0.5	1	73.43	73.42	73.46	73.44	0.00013	1.036	0.738	0.995
EJ-204	perpendicular		2022-09-22 15:06	Reverse		0.5	7	99.64	99.45	99.53	99.54	0.00045	1.042	1.000	1.000
EJ-204	perpendicular	Max	2022-09-22 15:12	Reverse	545	1	0.5	44.87	44.97	44.95	44.93	0.00056	1.016	0.448	0.968
EJ-204	perpendicular	Max	2022-09-22 15:16	Reverse		1	1	72.79	72.73	72.81	72.78	0.00027	1.027	0.725	0.978
EJ-204	perpendicular		2022-09-22 15:18	Reverse		1	7	100.35	100.43	100.31	100.36	0.00029	1.051	1.000	1.000
