Detector	Orientation	Position	Date	Current	MU/min	Bfield	Field_size	Dose1	Dose2	Dose3	Dose_Avg	D_SDOM	Diff_0T	OF	OF_Diff_0T	
BCF-60 Lee filter	perpendicular	Max	2022-09-27 14:59	Forward		1	1	71.76	71.79	71.77	71.77	0.00010	1.020	0.723	0.973
BCF-60 Lee filter	perpendicular		2022-09-27 15:00	Forward		1	7	99.28	99.24	99.23	99.25	0.00013	1.049	1.000	1.000
BCF-60 Lee filter	perpendicular	Max	2022-09-27 15:05	Forward	555	1.5	0.5	43.65	43.71	43.61	43.66	0.00054	0.989	0.440	0.943
BCF-60 Lee filter	perpendicular	Max	2022-09-27 15:09	Forward		1.5	1	70.95	70.93	70.94	70.94	0.00007	1.008	0.715	0.962
BCF-60 Lee filter	perpendicular		2022-09-27 15:11	Forward		1.5	7	99.28	99.25	99.21	99.25	0.00017	1.049	1.000	1.000
BCF-60 Lee filter	perpendicular	Max	2022-09-27 15:16	Reverse	545	0	0.5	0.00	0.00	0.00	43.90	0.00072	1.000	0.464	1.000
BCF-60 Lee filter	perpendicular	Max	2022-09-27 15:20	Reverse		0	1	0.00	0.00	0.00	70.22	0.00038	1.000	0.742	1.000
BCF-60 Lee filter	perpendicular		2022-09-27 15:22	Reverse		0	7	0.00	0.00	0.00	94.65	0.00009	1.000	1.000	1.000
BCF-60 Lee filter	perpendicular	Max	2022-09-27 15:33	Reverse	545	0.2	0.5	44.54	44.58	44.53	44.55	0.00022	1.015	0.463	0.998
BCF-60 Lee filter	perpendicular	Max	2022-09-27 15:36	Reverse		0.2	1	71.55	71.61	71.52	71.56	0.00023	1.019	0.743	1.002
BCF-60 Lee filter	perpendicular		2022-09-27 15:39	Reverse		0.2	7	96.30	96.29	96.27	96.29	0.00006	1.017	1.000	1.000
BCF-60 Lee filter	perpendicular	Max	2022-09-27 15:42	Reverse	545	0.35	0.5	44.70	44.73	44.63	44.69	0.00054	1.018	0.462	0.995
BCF-60 Lee filter	perpendicular	Max	2022-09-27 15:47	Reverse		0.35	1	71.78	71.79	71.78	71.78	0.00004	1.022	0.741	0.999
BCF-60 Lee filter	perpendicular		2022-09-27 15:48	Reverse		0.35	7	96.82	96.79	96.85	96.82	0.00015	1.023	1.000	1.000
BCF-60 Lee filter	perpendicular	Max	2022-09-27 15:52	Reverse	550	0.5	0.5	44.79	44.92	44.71	44.81	0.00112	1.021	0.461	0.995
BCF-60 Lee filter	perpendicular	Max	2022-09-27 15:57	Reverse		0.5	1	71.73	71.80	71.72	71.75	0.00029	1.022	0.739	0.996
BCF-60 Lee filter	perpendicular		2022-09-27 15:59	Reverse		0.5	7	97.10	97.11	97.17	97.13	0.00018	1.026	1.000	1.000
BCF-60 Lee filter	perpendicular	Max	2022-09-27 16:03	Reverse	550	1	0.5	43.36	43.55	43.48	43.46	0.00104	0.990	0.445	0.959
BCF-60 Lee filter	perpendicular	Max	2022-09-27 16:07	Reverse		1	1	70.95	71.02	71.12	71.03	0.00057	1.012	0.727	0.979
BCF-60 Lee filter	perpendicular		2022-09-27 16:08	Reverse		1	7	97.75	97.79	97.75	97.76	0.00011	1.033	1.000	1.000
BCF-60 Lee filter	perpendicular	Max	2022-09-27 16:12	Reverse	545	1.5	0.5	42.97	42.99	42.85	42.94	0.00083	0.978	0.437	0.943
BCF-60 Lee filter	perpendicular	Max	2022-09-27 16:17	Reverse		1.5	1	70.45	70.53	70.55	70.51	0.00035	1.004	0.718	0.968
BCF-60 Lee filter	perpendicular		2022-09-27 16:20	Reverse		1.5	7	98.16	98.17	98.15	98.16	0.00005	1.037	1.000	1.000
